id,customerId,vin,year,make,model,color,licensePlate,mileage
03906fe4-cfc9-4b04-b601-5299a9f31e10,1b3462e2-6426-45f4-abde-864a70bb8f8d,1F9RUD1A9SJ540005,2025,Retro Ride,Retro Ride,Gray,,true
0572f201-ba61-415f-9ca8-35b16af5b690,7d76ffae-8495-4690-adb2-c38077ee8d3d,1F9RUD1A4RJ540052,2025,Retro Ride,Retro Ride,,,true
06d5e465-f163-482d-a130-aebcd32d077a,e8758c3a-a916-40e4-95e1-2b0d232e283b,1F9RUD1A0SJ540006,2025,Retro Ride,Retro Ride,,,true
0afd6585-3882-4dcc-8dd1-1f90f6797ec6,e401ffb2-9841-445c-a388-a03a1c46fbe1,1F9RUD1A4SJ540042,2025,Retroride,Retroride,White,,2
120b1732-da09-450c-8d49-ddb8712ddcab,,1F9RUD1A5RJ540044,2024,Retro Ride,Retro Ride,,,true
1622785a-0e9f-4881-b0b2-946340df2315,e869df31-a7a9-4771-9a83-1ad6a371ea78,1F9RUD1AXSJ540031,2025,Retroride,Retroride,Blue,,2
18879a56-b7b8-49ad-b7f3-5436156132fe,21897283-2dc1-40e3-80f0-181c247e6a47,1F9RUD1A0RJ540034,2024,Retro Ride,Retro Ride,,,true
12e06e7d-7d42-4160-8652-6cd790ccdcf5,e4e9c0d7-a5ad-4a71-b700-86bcd7f092c0,1F9RUD1A5RJ540030,2024,Retro Ride,Truck,,,true
13b12fdc-d0c5-4c7f-8831-cc2d141e5163,2325194b-9fb1-48d4-875b-6a8398553e31,1F9RUD1AXRJ540024,2024,Navitas,Bronco,,,true
153580c1-0e16-473b-87a2-0a3f565914a1,33c9162f-b0f5-485b-926c-9c9b2b7b7f59,,1998,club car,golf cart,,,true
15ab1c36-ccdd-4d9a-889d-a9d7822e343b,10050a0b-a51e-487a-8031-1470d3851c05,19RUD1A3SJ540002,2025,Retro Ride,Retro Ride,,,true
66228e928db65ae2c039e3cf,65af1abe1791cac8fe3fc689,,2024,Navitas,Bronco,Black,,false
b2b80bfa-be72-4a5d-8b3d-190ea2cdb9be,2367a9c4-b20b-4314-aa86-9ae846c2cf9a,1F9RUD1A5SJ540034,2025,Retroride,Retroride,White,,2
b309f6fe-faf4-40a9-a48f-df1a7eb69fe7,ee59c538-3e78-4465-a429-0e394f19b7bf,1F9RUD1A6SJ540043,2025,Retroride,Retroride,Blue,,2
663d467d41c9b1114eea0540,662a8ff929bf187eb6c6d9ed,,2024,Evolution,Maveric,Black,,1
7c247f91-c561-4a7a-b99d-bc96ccfbaccf,,1F9RUD1A1RJ540042,2024,Retro Ride,Retro Ride,,,true
bc9bb998-923c-4757-a91c-7505b28b216a,10dcb040-9914-4e38-bce7-1b7c467bfd25,1F9RUD1A0SJ540023,2025,Retroride,Retroride,Green,,2
be44a458-69a0-4932-9685-bdd97233200b,9c5cb341-8bcc-46c3-a39d-851526ed32d4,1F9RUD1A6RJ540053,2025,Retro Ride,Retro Ride,,,true
be85a0f0-a8c2-4fd8-8935-ced8b6495af5,9c5cb341-8bcc-46c3-a39d-851526ed32d4,1F9RUD1A6RJ540053,2025,Retro Ride,Retro Ride,,,true
d43492d2-266d-4593-9dfd-0fbba9918c6f,ab42509f-4b63-4bfb-8fd0-7f66a335f658,1F9RUD1A5SJ540048,2025,Retroride,Retroride,Blue,,2
da2a85c9-0baa-4959-a430-00c541175f9b,9ed18cd7-0666-4988-ab7b-cfb5b349fb4b,1F9RUD1A8RJ540040,2024,Retro RIde,Retro Ride,,,true
9525f6a6-026b-4914-abf2-c8015576504e,63039ccc-2c16-4ad2-80ee-9aa5bc1fb68a,1F9RUD1A5SJ540017,2025,Retro ride,Retro ride,,,true
95b493d4-8344-4bfa-800a-1d8295f0af06,e00a7c73-4672-4e38-85ac-e82bdc577b50,1F9RUD1A3SJ540050,2025,Retroride,Retroride,Green,,2
9c21ad59-a159-474f-a5cc-24a0a655c592,548f9e12-ef61-4fb7-b390-ca950cb72c71,1F9RUD1AXSJ540045,2025,Retroride,Retroride,Black,,2
9d540b52-d75b-4100-9208-ec686288b52c,e0e543ba-57d4-4380-a5e1-1e4a7c5f253b,1F9RUD1A7SJ540004,2025,Retro Ride,Retro Ride,Blue,,true
e3181ba3-19dc-4890-8424-c6d1f22e3929,,1F9RUD1A8SJ540013,2025,Retro ride,Retro ride,,,2
8655f612-7218-4292-adf1-b8677d802ce6,30e0cac1-6c9a-4dc4-ab74-2ef3fbb742ed,1F9RUD1A2RJ540048,2024,Retro Ride,Retro Ride,,,true
880cecb3-5bad-4fa2-a766-8a3a7f7d1c22,0b9966f8-8a23-4c47-9717-00da98e70e0d,,2000,Club Car,DS,,,true
8af63159-1e5f-4e34-87ba-560ecbb00037,,1F9RUD1A9SJ540036,2025,Retroride,Retroride,Blue,,2
8cf1d23c-ab5f-438f-acd5-ee88fc8ec373,,,2018,EZGO,Express S4 Elite,,,true
